"filename", "language", "JavaScript", "JSON", "JSON with Comments", "TypeScript", "YAML", "SCSS", "CSS", "TypeScript JSX", "Markdown", "XML", "comment", "blank", "total"
"d:\work\programming228\web\game-tensor\src\styles\Header.module.scss", "SCSS", 0, 0, 0, 0, 0, 177, 0, 0, 0, 0, 0, 8, 185
"d:\work\programming228\web\game-tensor\src\styles\Home.module.scss", "SCSS", 0, 0, 0, 0, 0, 65, 0, 0, 0, 0, 0, 1, 66
"d:\work\programming228\web\game-tensor\src\styles\Registration.module.scss", "SCSS", 0, 0, 0, 0, 0, 58, 0, 0, 0, 0, 0, 1, 59
"d:\work\programming228\web\game-tensor\src\styles\Rules.module.scss", "SCSS", 0, 0, 0, 0, 0, 26, 0, 0, 0, 0, 0, 1, 27
"d:\work\programming228\web\game-tensor\src\styles\Settings.module.scss", "SCSS", 0, 0, 0, 0, 0, 43, 0, 0, 0, 0, 0, 1, 44
"d:\work\programming228\web\game-tensor\src\styles\Sidebar.module.scss", "SCSS", 0, 0, 0, 0, 0, 147, 0, 0, 0, 0, 0, 4, 151
"d:\work\programming228\web\game-tensor\src\styles\TagsSearch.module.scss", "SCSS", 0, 0, 0, 0, 0, 76, 0, 0, 0, 0, 0, 1, 77
"d:\work\programming228\web\game-tensor\src\styles\UserId.module.scss", "SCSS", 0, 0, 0, 0, 0, 111, 0, 0, 0, 0, 0, 3, 114
"d:\work\programming228\web\game-tensor\src\styles\globals.css", "CSS", 0, 0, 0, 0, 0, 0, 256, 0, 0, 0, 0, 14, 270
"d:\work\programming228\web\game-tensor\tsconfig.json", "JSON with Comments", 0, 0, 22, 0, 0, 0, 0, 0, 0, 0, 0, 1, 23
"Total", "-", 66, 12062, 22, 945, 21, 1378, 256, 1604, 26, 2, 235, 314, 16931
